Skenari,Modeli,CV_F1_mean,CV_F1_std,Accuracy,Balanced_Accuracy,Macro_F1,Precision_T2D,Recall_T2D,F1_T2D,Precision_healthy,Recall_healthy,F1_healthy,ROC_AUC,TP,TN,FP,FN,SVM_params
S1,Logistic Regression,0.6382,0.0555,0.6438,0.6384,0.6383,0.6333,0.5588,0.5938,0.6512,0.7179,0.6829,0.5879,28,19,15,11,
S1,SVM,0.6295,0.0244,0.5342,0.5,0.3482,0.0,0.0,0.0,0.5342,1.0,0.6964,0.632,39,0,34,0,"{'svc__C': 0.1, 'svc__gamma': 'scale'}"
S1,Random Forest,0.6836,0.0632,0.6575,0.6569,0.6565,0.6286,0.6471,0.6377,0.6842,0.6667,0.6753,0.7903,26,22,12,13,
S1,XGBoost,0.6746,0.0457,0.6986,0.6991,0.6981,0.6667,0.7059,0.6857,0.7297,0.6923,0.7105,0.721,27,24,10,12,
S2,Logistic Regression,0.6543,0.0724,0.5068,0.5008,0.4992,0.4667,0.4118,0.4375,0.5349,0.5897,0.561,0.5181,23,14,20,16,
S2,SVM,0.6411,0.0783,0.5342,0.5,0.3482,0.0,0.0,0.0,0.5342,1.0,0.6964,0.4966,39,0,34,0,"{'svc__C': 1, 'svc__gamma': 0.001}"
S2,Random Forest,0.6335,0.0661,0.4932,0.4842,0.4791,0.4444,0.3529,0.3934,0.5217,0.6154,0.5647,0.5207,24,12,22,15,
S2,XGBoost,0.6081,0.0472,0.589,0.5796,0.5756,0.5769,0.4412,0.5,0.5957,0.7179,0.6512,0.583,28,15,19,11,
S3,Logistic Regression,0.6466,0.0482,0.6575,0.6531,0.6534,0.6452,0.5882,0.6154,0.6667,0.7179,0.6914,0.5977,28,20,14,11,
S3,SVM,0.6151,0.0408,0.5342,0.5,0.3482,0.0,0.0,0.0,0.5342,1.0,0.6964,0.6342,39,0,34,0,"{'svc__C': 0.1, 'svc__gamma': 'scale'}"
S3,Random Forest,0.6924,0.049,0.6575,0.6512,0.651,0.6552,0.5588,0.6032,0.6591,0.7436,0.6988,0.7394,29,19,15,10,
S3,XGBoost,0.6688,0.0247,0.589,0.5852,0.5852,0.5625,0.5294,0.5455,0.6098,0.641,0.625,0.6885,25,18,16,14,
